"","M.C.193","M.C.216","M.C.218","M.C.226","M.C.306","M.C.329","M.C.334","M.C.337","M.C.339","M.C.358","M.C.360","M.C.363","M.C.373","M.C.482","M.C.488","M.T.18","M.T.20","M.T.22","M.T.235","M.T.245","M.T.29","M.T.31","M.T.32","M.T.399","M.T.43","M.T.44","M.T.500","M.T.7","M.T.83","M.T.8"
"LOC132758254",9.01823361489945,8.99135769024146,7.5770102986508,7.7890527300868,7.61799995441299,7.90348982202771,7.78503655802838,8.36219696935414,8.10246900797769,7.7309758660368,7.43127930730373,8.48987682533441,6.8708405814907,7.05600275342012,7.86691686258671,7.0029169529799,6.27803932926775,6.74429055973838,7.17241478194945,6.69942740326075,6.65387928736283,7.67450420909871,6.9605147726873,6.23625061656922,6.41043984355123,6.41964836186521,6.60777921850064,7.16901791666584,6.84818411765253,7.13444226611486
"LOC132731097",1.91169912163524,2.14295277444784,2.12822661241972,0,1.00537218258679,1.19902336409978,0,1.76571402217237,0.969009648737545,0,0,0,3.1515533487697,0,3.28246869401375,3.61520472444173,3.48719366321833,0.96221597559123,4.64764758174492,1.76283877595308,4.94996208246053,6.64197717246692,4.63721749407143,2.62989637101071,4.71627152829425,4.97856710013023,0,2.89901819463164,5.90567946308702,6.46483553372506
"LOC132715427",6.25755512531398,0,6.02379103996519,0,0,1.19902336409978,0,0.848109786513921,0,0,6.43162487159575,9.38458868023426,1.70184916778206,1.1451025757715,1.67018259509324,0,0,0,1.1016432323958,1.1354207164219,0.997813867297712,0,0.866811805201901,0.899151822964975,0,0,0,0,0.941923836002986,0
"LOC132713898",0,1.09685797421702,1.69949169840522,1.86582377044753,6.59557563265034,3.13340768260618,7.18650343758854,2.72268151491101,3.84849269714892,7.83955300701223,5.02837236088516,2.73051074276522,0,0,1.67018259509324,0.899723136356069,0.888416917939135,1.94294628055554,1.1016432323958,1.1354207164219,0.997813867297712,0,2.92391500996892,0,0,6.94383306217924,2.90836399677026,0,1.50699620547858,2.46900964214573
"LOC132746399",5.27628952953365,6.31438781101382,7.93600984814608,7.72737321676371,6.92949936638874,8.01609823792826,6.24597314346219,6.40964191603359,5.55335518350816,6.87334382428336,7.10943761124955,5.69298924435225,7.07749949880229,5.22298057660165,6.72468216542612,4.79892898859898,4.68275127727934,5.70620478480942,5.54965662879115,5.46224023944634,6.31760728855767,5.47004829000648,5.21876764287522,5.60209181631184,6.12982647546675,5.61390745835799,6.15986504878392,5.88588360447826,4.8852686851375,4.42054043515821
"LOC132746792",5.78997837334059,6.52529666742304,5.48650100558967,5.76967621328101,6.38563512950317,7.13904925695242,6.16577456637658,6.40964191603359,5.39822533580014,7.45874541445936,5.43231575196302,6.99171099124119,6.79967867262331,5.76317826193942,6.37235276434563,4.3252118190234,4.10196356576328,5.24730880913005,5.51392029974647,5.10898992201973,5.48757489272077,4.90126874611842,5.37008729633384,5.18839056553755,5.21807438701997,5.85037624936066,6.09266955339127,4.60966922960836,5.92767699611923,4.63327648759653
"LOC132720785",5.40727779134345,3.87446287909811,3.47448702896128,4.18514812629599,3.17946176173652,4.35315601073564,4.73604722200968,5.32937124672336,3.40258083665951,3.94409455758203,4.94102375241961,3.96863955606426,4.97351415395905,4.65720386970002,5.07631241035262,5.81775897633191,6.39937766787067,6.95743900161081,4.3562725016953,4.64018843539909,5.28113899613091,6.2370685327417,4.89854673283465,6.25270937432063,7.0166382209791,7.44769614259339,5.15815679572452,4.87080552935563,6.18675582401567,4.56579086287138
"LOC132731011",5.24159598422041,7.21969968741861,6.57607361384974,6.55808063589353,6.62532524761938,7.51110334330479,6.70908071913275,6.50169030971852,5.39822533580014,5.66726586390156,6.84648959907508,6.66301605773271,5.48983013730615,6.54044595221937,6.66387458214037,5.38156965309779,3.95134938841371,5.59738245960459,6.10041844004443,5.71324284723093,5.31766206325333,5.43342985993524,4.89854673283465,5.57616952598286,6.01254494560914,5.50728175904101,5.1136558433603,5.3130686164518,6.07292808228671,4.98287003855733
"LOC132746691",1.50674398875093,1.71271339524423,0,0.732217065474416,2.00805079078013,3.66249925899665,2.02784890976286,1.76571402217237,2.94532204737923,1.07523498107558,0,1.08907850790642,0,0,1.0643823418906,8.28442685948548,0.888416917939135,3.73637783137082,5.32061658984775,2.19864454670348,0.997813867297712,0,3.98416201294041,0,0,2.42254507396613,7.20381223073116,1.77492185707158,1.91198485204196,8.25245068262182
"LOC132739257",0.941737267750733,0,0,0.732217065474416,6.62532524761938,1.19902336409978,0,0,0,0,0,1.08907850790642,0,0,1.0643823418906,2.15795937666433,4.42138823709903,0,0,0,6.89047900515493,0,0.866811805201901,5.62755654525452,0.751403255217804,0,4.81328172744769,3.04729132409324,1.50699620547858,0
