"","M.C.193","M.C.216","M.C.218","M.C.226","M.C.306","M.C.329","M.C.334","M.C.337","M.C.339","M.C.358","M.C.360","M.C.363","M.C.373","M.C.482","M.C.488","M.T.18","M.T.20","M.T.22","M.T.235","M.T.245","M.T.29","M.T.31","M.T.32","M.T.399","M.T.43","M.T.44","M.T.500","M.T.7","M.T.83","M.T.8"
"LOC132746399",6.11912535105097,6.85502898707258,8.47092185102884,8.17347678506904,7.284586396328,8.48321852042764,6.71627628503891,6.78619686812151,6.28374911480298,7.17975643989354,7.40130081334556,6.62033751211095,7.27886675774884,6.01268339057889,7.21586201484415,5.17068268981473,5.09816066638497,6.28108877581055,5.80989987943872,6.16472773589872,6.66121210993587,5.83982480061169,5.73081934192047,6.38657432187079,6.44321264837541,6.03956782111345,6.59247786663692,6.19894887007678,5.00826006511346,5.0988213284333
"LOC132746792",6.57638844482423,7.01418122030534,6.28940812955501,6.22475665990185,6.87263002996568,7.3261799683743,6.51305430104921,6.75308019755118,5.95731396660425,7.92603946661574,5.77169485386861,7.38079071363606,7.39759195452346,6.14081636810667,6.84237599685716,4.90162005916969,4.8219426241571,5.82416133652378,5.80989987943872,5.51344597339986,5.87151104471759,5.63083287376282,5.73081934192047,5.53134743213962,5.71725800033381,6.23666430300807,6.459634573935,5.09089591718861,5.73725773726198,6.50208832605223
"LOC132759372",6.54812161399602,7.76171248925833,7.48893326550108,7.95473160534301,6.87263002996568,7.54392295361403,7.66476303352747,7.37770050482581,7.11940600081775,6.36596701350016,7.42400673901448,7.00680677532401,7.49845612916207,7.43050212012348,8.26842158859447,6.55151780550824,6.02121715686721,6.2450385001929,6.54863697073916,6.87848924068991,6.54338510511505,6.59988205755613,6.42077257150934,7.11360747398699,6.6550487968421,7.26861166069689,6.15044503334792,5.87031379094941,6.49339753773075,6.54555409592438
"LOC132731011",5.82139743237462,7.46368545878778,6.98437852802037,7.15467206998776,7.20494470941321,7.87639272805412,7.28687304229073,6.92151831835759,5.86269907672114,6.08681791019264,7.24004499879301,7.15012790769739,5.92936277549088,6.93231583170325,7.05903208009187,5.71844094861948,4.58624497977819,5.79951702392023,6.82708706003439,6.213798923704,5.54350603942985,5.63083287376282,5.35382143800659,5.91101202271851,6.52094299340384,5.98078799285701,5.6688268446343,6.01790139128436,5.28043559971195,6.55975646757347
"LOC132723766",4.47853827801394,4.5547439616207,5.72416143039939,6.02926790834981,5.34960072009347,5.7356841314549,6.39048248633627,6.82920210766864,4.15076949244398,5.28353086148149,5.48543008811383,5.51645030746282,4.22963140858301,5.8720511445399,4.64748327285272,5.42702596627692,5.5295100789787,6.29878163508844,8.2000605001441,6.7841677756311,8.82790392056895,6.51539719980985,5.79569163034019,6.73187198111496,8.86473025698006,7.46724146371935,5.50992751757155,6.64735784397217,5.54417328419447,6.13565551182777
"LOC132730403",7.90044106863184,10.2810776013095,8.14649353809613,10.6817996178581,9.43425902810198,10.9795958818532,9.77942069136598,9.89471115666755,8.61275640271868,9.89307742102255,9.64086060582624,9.78451151949293,9.18925269024045,8.81235049123803,10.3664163814149,7.48156517008959,8.86586543735863,8.28052640698217,8.34754011901881,8.40859546608829,8.43579111148854,7.20706759908119,8.24730868015842,9.08973404214971,9.43438298808665,8.83077642825184,8.86019408433174,7.38536771273879,9.32753933254939,8.75986703872141
"LOC132731012",5.86787991655506,6.94998740372184,6.132359825202,7.06998138905431,7.05402770161032,7.44998131524881,6.54624368635326,6.70770789608749,6.6381235180359,6.11031664968748,7.24855054127809,7.51926868499349,6.68822584747907,5.71621481977787,7.18366108242567,5.69425123272142,5.13363318974098,5.36816588256447,6.96884581511717,6.08784199962924,5.87151104471759,5.49623797063407,5.83737390225507,5.80273073407024,6.3968395831256,5.30442292224144,6.06155694073564,5.66167850873076,5.96008939995187,5.79503366716249
"LOC132741641",0.945454622460213,2.12940799254718,1.72464222481166,1.89058596014239,2.64004407472752,3.81470374512802,0,2.11753703225332,0,1.08144880960444,1.88034811369263,2.72175009202101,3.45816123591761,0,6.37560807978195,8.58996027477122,3.11666108470701,3.53050550064683,7.49477092724274,5.58978523115361,3.31173988163919,5.94692607584442,3.89149855219888,5.47601113017897,1.90785954498202,1.85845812352788,5.36886647441171,8.99606381220384,7.76932527171494,4.21400841691257
"LOC132745822",8.02872703251293,8.47335993116845,8.89778101215349,8.54692311094769,9.67124683669128,10.098547084871,8.158925890769,8.95686810407106,6.88677060212999,8.27694492454519,7.69064275773318,8.85577027907773,7.03203619193289,8.38550488121219,9.3015220329364,7.46736126355761,6.37249366814165,7.16006511743909,7.86492065407793,7.48956163718295,7.0331555564926,7.27030470395669,6.89547255245634,7.3004060046656,8.3325139102372,7.48849521428432,8.22485339585872,7.4387403368602,5.6757234838985,8.25721559880697
"LOC132725056",7.54039255999892,7.95726339300513,7.03596979030289,7.72475907489046,7.03111918705378,6.79182137622923,6.33458666600822,6.85023336108758,7.29272119930252,7.32742600034568,7.4463608364895,6.51832983744404,7.53345329486799,7.14285278738866,6.80052114727157,6.18564396407658,4.73222964922231,5.74892833428651,7.53180002850787,6.16472773589872,4.68955223991302,6.02233718626904,6.21480305352726,4.97526316249789,5.55779912867322,5.83353730808572,6.15044503334792,5.44402822632193,5.61144726830863,7.38667051665458
