Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
M-C-216_R1_001	61.10349209993368	33.0	150.0	27.27272727272727	34443939.0
M-C-216_R2_001	61.95906213860961	33.0	150.0	27.27272727272727	34443939.0
M-C-218_R1_001	64.56830865213763	32.0	150.0	27.27272727272727	33910129.0
M-C-218_R2_001	64.8972806158838	32.0	150.0	27.27272727272727	33910129.0
M-C-226_R1_001	65.0504058329633	34.0	150.0	27.27272727272727	47981112.0
M-C-226_R2_001	64.17098292817913	34.0	150.0	27.27272727272727	47981112.0
M-C-306_R1_001	63.96409271001205	34.0	150.0	27.27272727272727	34922791.0
M-C-306_R2_001	63.771898511530985	34.0	150.0	27.27272727272727	34922791.0
M-C-329_R1_001	65.71600661248655	33.0	150.0	27.27272727272727	35127753.0
M-C-329_R2_001	65.36988299524523	33.0	150.0	27.27272727272727	35127753.0
M-C-334_R1_001	61.54842906827475	34.0	150.0	27.27272727272727	31972026.0
M-C-334_R2_001	61.43648148730471	34.0	150.0	27.27272727272727	31972026.0
M-C-337_R1_001	61.03740480157535	34.0	150.0	27.27272727272727	37007223.0
M-C-337_R2_001	61.74982096433159	34.0	150.0	27.27272727272727	37007223.0
M-C-339_R1_001	56.34576377859855	34.0	150.0	18.181818181818183	31126207.0
M-C-339_R2_001	56.611581399275266	35.0	150.0	18.181818181818183	31126207.0
M-C-358_R1_001	61.08044528673979	33.0	150.0	27.27272727272727	34184751.0
M-C-358_R2_001	60.99364235431748	33.0	150.0	27.27272727272727	34184751.0
M-C-360_R1_001	62.8137290519751	33.0	150.0	27.27272727272727	49513392.0
M-C-360_R2_001	62.20329304555058	33.0	150.0	27.27272727272727	49513392.0
M-C-363_R1_001	63.30586724991071	32.0	150.0	27.27272727272727	37249221.0
M-C-363_R2_001	63.55705420342216	33.0	150.0	27.27272727272727	37249221.0
M-C-373_R1_001	61.67129819060984	33.0	150.0	27.27272727272727	35927901.0
M-C-373_R2_001	62.25521935804381	33.0	150.0	27.27272727272727	35927901.0
M-C-482_R1_001	62.588398208653004	33.0	150.0	27.27272727272727	33365530.0
M-C-482_R2_001	62.53517956228119	33.0	150.0	27.27272727272727	33365530.0
M-C-488_R1_001	61.00028025064537	33.0	150.0	18.181818181818183	33853156.0
M-C-488_R2_001	61.409055248169736	33.0	150.0	18.181818181818183	33853156.0
M-T-18_R1_001	56.52731242232607	34.0	150.0	18.181818181818183	33236212.0
M-T-18_R2_001	56.307888020735916	34.0	150.0	18.181818181818183	33236212.0
M-T-193_R1_001	60.1864699547676	33.0	150.0	27.27272727272727	36747760.0
M-T-193_R2_001	61.26317260215378	33.0	150.0	27.27272727272727	36747760.0
M-T-20_R1_001	59.73474905420515	33.0	150.0	27.27272727272727	37411320.0
M-T-20_R2_001	59.703478657150086	33.0	150.0	18.181818181818183	37411320.0
M-T-22_R1_001	59.035746025402744	33.0	150.0	27.27272727272727	33527679.0
M-T-22_R2_001	58.32709321131925	33.0	150.0	27.27272727272727	33527679.0
M-T-235_R1_001	65.90887347975703	33.0	150.0	27.27272727272727	35966847.0
M-T-235_R2_001	66.02458102675304	33.0	150.0	27.27272727272727	35966847.0
M-T-245_R1_001	64.7310026307353	33.0	150.0	27.27272727272727	29909520.0
M-T-245_R2_001	64.90365648439189	34.0	150.0	27.27272727272727	29909520.0
M-T-29_R1_001	61.40013984451967	33.0	150.0	27.27272727272727	36176060.0
M-T-29_R2_001	61.55204843373274	33.0	150.0	27.27272727272727	36176060.0
M-T-31_R1_001	58.09586909105148	33.0	150.0	27.27272727272727	31829493.0
M-T-31_R2_001	57.04360010236681	34.0	150.0	27.27272727272727	31829493.0
M-T-32_R1_001	56.60049848439406	33.0	150.0	18.181818181818183	37915821.0
M-T-32_R2_001	56.13808027669738	33.0	150.0	18.181818181818183	37915821.0
M-T-399_R1_001	60.7607969458909	33.0	150.0	18.181818181818183	39457912.0
M-T-399_R2_001	61.455338584514166	33.0	150.0	18.181818181818183	39457912.0
M-T-43_R1_001	63.59291387321398	33.0	150.0	27.27272727272727	50292908.0
M-T-43_R2_001	63.24453684999739	33.0	150.0	27.27272727272727	50292908.0
M-T-44_R1_001	58.75758787963848	33.0	150.0	27.27272727272727	36464096.0
M-T-44_R2_001	59.65980894801111	33.0	150.0	27.27272727272727	36464096.0
M-T-500_R1_001	60.874919629999766	33.0	150.0	27.27272727272727	37240310.0
M-T-500_R2_001	62.117857915823066	33.0	150.0	27.27272727272727	37240310.0
M-T-7_R1_001	60.06457514671385	33.0	150.0	18.181818181818183	42197219.0
M-T-7_R2_001	58.59353072874862	34.0	150.0	18.181818181818183	42197219.0
M-T-83_R1_001	61.58820904778985	33.0	150.0	27.27272727272727	38162689.0
M-T-83_R2_001	62.79329894990362	33.0	150.0	27.27272727272727	38162689.0
M-T-8_R1_001	59.82007296589442	33.0	150.0	27.27272727272727	32525548.0
M-T-8_R2_001	58.425006823465395	33.0	150.0	27.27272727272727	32525548.0
