"","M.C.216","M.C.218","M.C.226","M.C.306","M.C.329","M.C.334","M.C.337","M.C.339","M.C.358","M.C.360","M.C.363","M.C.373","M.C.482","M.C.488","M.T.18","M.T.20","M.T.22","M.T.235","M.T.245","M.T.29","M.T.31","M.T.32","M.T.399","M.T.43","M.T.44","M.T.500","M.T.7","M.T.83","M.T.8"
"LOC132731948",0,0,0,0,0,1.01770558167802,0,0.9679271189076,0,0.968854776182021,0,0,0,0,2.15478055462433,1.43216760674774,3.25114133307059,1.10002060259267,2.19609044699292,1.58018950980923,4.38594523955127,1.79348465724658,3.9704351138496,2.68985204062375,0,3.10185060683229,2.73276763309675,3.35014560552882,1.70696565719588
"LOC132758254",8.98634806823685,7.57450479622041,7.78461323867591,7.61532603663838,7.89810392386399,7.78322761870073,8.36141372611713,8.100263088169,7.72603853109052,7.42923299575787,8.4834825911337,6.86548165489815,7.0505338947309,7.86438880027544,6.99885083949592,6.27488287290752,6.74202547180935,7.16939583669,6.69619260782803,6.65111718119109,7.66812205438518,6.95797944756656,6.23343792463417,6.40653261334728,6.41712257970368,6.60644687718942,7.16787890439814,6.84610683559521,7.13217755587981
"LOC132731097",2.13907129813321,2.1262844213948,0,1.00402400802028,1.19597312106937,0,1.76515947452759,0.9679271189076,0,0,0,3.14675743959239,0,3.28019088706602,3.61144147552335,3.48428140390861,0.96110354871964,4.64472894472562,1.76053574688888,4.94726258831015,6.63562791546922,4.63476442265935,2.62750673302539,4.7124683609384,4.97609256755029,0,2.89802503017069,5.90361895935253,6.46258041960456
"LOC132731011",7.21471391943885,6.57358133066943,6.55366835116061,6.62266488476321,7.50572451865853,6.70728091515228,6.50091335056874,5.39606389218214,5.66240292112377,6.84444925208877,6.65666736270461,5.48454544639339,6.53499491462779,6.66136069557231,5.37756998279621,3.94835860656343,5.59514329052913,6.09742275058048,5.71003891505036,5.3149422437875,5.42716497934252,4.89607663098597,5.57337879238869,6.00865249677793,5.50478233419901,5.11234859122873,5.31195049330333,6.07086374977008,4.98066126773673
"LOC132713898",1.09418743226954,1.69774895784412,1.86258904585113,6.59291583751317,3.12861653109318,7.18469873714606,2.7220149282902,3.84643252143966,7.83461397634852,5.0263772270675,2.72506658794811,0,0,1.66844190052297,0.897823017942947,0.886947513213227,1.94125486383747,1.10002060259267,1.13364218249913,0.996421738028343,0,2.92169618844008,0,0,6.94129817727704,2.9071972226996,0,1.5056383508054,2.46714092703963
"LOC132746399",6.30943149027625,7.93350143734366,7.72293460744535,6.92683382375538,8.01071064051671,6.24417991767352,6.40886552823165,5.55118838383367,6.86842548329664,7.10739428216515,5.6867013534963,7.0721343973272,5.2176180418071,6.72216724451313,4.79497829838106,4.67967820845637,5.70396218192869,5.54668155669134,5.45904815118099,6.31485246160981,5.46377968185542,5.21628047005908,5.59930001772353,6.12592923862566,5.61140402713526,6.15853773474462,5.88475602327434,4.8832441563133,4.4183660709132
"LOC132720785",3.86978617290089,3.47219510049811,4.18093395849794,3.17707105214723,4.348012589766,4.73429826773257,5.32860516022393,3.40057636144643,3.93945664672988,4.9390325576517,3.96263786321107,4.96828131285403,4.65191230698282,5.07384878096326,5.81373362211009,6.3962178840085,6.95517098222746,4.35338103453435,4.637053301686,5.27842097182601,6.23074012851325,4.89607663098597,6.24989625305273,7.01271502281999,7.4451551329915,5.15684836209029,4.86969776001101,6.18468912824487,4.56360628973372
"LOC132746792",6.52033175377122,5.48403852815111,5.76529839599848,6.38297969149045,7.13367917106777,6.16398271007754,6.40886552823165,5.39606389218214,7.45381293697816,5.4303052059878,6.9853493761262,6.79432208545962,5.75776956332719,6.3698444897436,4.32131842442867,4.09895227205228,5.24508261923708,5.5109468570542,5.1058184106859,5.48484729411762,4.89507021154207,5.36759328374964,5.18561827462727,5.21422697651781,5.84786492204438,6.09134313741116,4.60856924151458,5.92561596309302,4.63108750981391
"LOC132739257",0,0,0.730443664047427,6.62266488476321,1.19597312106937,0,0,0,0,0,1.08568403418547,0,0,1.0630580187508,2.15478055462433,4.41833992155356,0,0,0,6.88771270440354,0,0.865658028197297,5.62476371893747,0.749799429914167,0,4.81198347862517,3.04628313662612,1.5056383508054,0
"LOC132730403",9.60861624059305,7.57450479622041,9.99441669968093,8.73253172960459,10.1786907687628,9.36157182831085,9.07468103327278,7.92973860735048,9.06036372339894,8.72180312637703,9.10875792804486,8.35584099352907,8.3094031376163,9.76537848092064,6.83397855315471,8.16591382941131,7.6562194492447,7.79253305554722,7.53055788911329,7.76765443838976,6.23074012851325,7.53906869754165,8.38465028875197,8.63788884641553,8.22711550054816,8.32490830481959,6.84238403559308,8.10855411238068,8.72963891052568
