"","M-C-193","M-C-216","M-C-218","M-C-226","M-C-306","M-C-329","M-C-334","M-C-337","M-C-339","M-C-358","M-C-360","M-C-363","M-C-373","M-C-482","M-C-488","M-T-18","M-T-20","M-T-22","M-T-235","M-T-245","M-T-29","M-T-31","M-T-32","M-T-399","M-T-43","M-T-44","M-T-500","M-T-7","M-T-83","M-T-8"
"XM_060752143.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78928872744254,10.3829095539498,7.77645192566943,0,0,10.9082092529662,0,9.4550550106362,0,0,0
"XR_009624468.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7495347257613,9.42498393017322,0,0,10.5284325723424,10.2461521287782,0,0,0,0
"XM_060752155.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6408277284863,10.4583200535986,0,7.23022127264395,0,0,0,10.6634535586173,0,0,0
"XR_009628752.1",9.91080706522017,0,0,11.5629638114104,0,0,1.06617809513438,0,0,0,10.9789232835007,0,0,0,0,0,0,0,0,10.7940598041736,0,0,0,11.4292200402592,0,0,0,0,0,0
"XM_060730143.1",0,7.06980122057453,0,0,0,5.72077336123475,6.43166581681037,0,0,0,0,0,7.91404967680316,0,0,0,0,0,0,0,0,0,0,0,0,7.38509319155178,0,0,0,0
"XM_060722798.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66094078150545,0,0,6.94177326078654,6.58667494210619,0,0,0,6.91978422974845,0
"XM_060733623.1",0,0,0,0,0,9.71618155059206,0,0,0,0,0,8.45500752206845,0,9.42281410406067,0,0,0,0,0,0,9.72336053202325,0,0,0,0,0,0,0,0,0
"XM_060733074.1",7.26008952608695,9.18430023339984,1.75711952219578,0,0,0,0,0,7.93271476499205,0,0,0,0,0,0,0,0,0,0,0,0,7.46824446047647,0,0,0,0,0,0,0,0
"XM_060742410.1",0,0,0,0,0,6.17887068712283,0,0,5.26147193379551,0,0,5.92403493465947,0,6.69771072654938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_060704290.1",0,0,0,5.62117541262329,8.10850316791999,0,0,0,0,0,0,0,7.64098158455866,0,8.29031007467778,0,0,0,0,0,0,0,6.50738056695188,0,0,0,0,0,0,0
"XM_060752169.1",0,0,8.18679527369832,0,0,0,0,0,0,9.0671585903619,7.45086147679711,0,0,0,0,0,0,0,0,0,8.64008382406,0,0,0,0,0,8.75226533616823,0,0,0
"XM_060723658.1",0,0,0,0,8.55106809979541,0,0,0,0,0,0,0,0,0,0,0,8.49652382718901,0,0,0,0,5.85637651377652,7.43331014951605,0,0,0,0,0,5.58818201620544,0
