"","gene","SPID","protein","evalue","baseMean","log2FoldChange","pvalue","padj","length"
"1","LOC132712777","S8FGV1","uncharacterized protein LOC132712777",9.32e-44,66.0375040016735,-2.75999737485059,1.05243336584272e-05,0.00853382656088711,299
"2","LOC132713118","Q8WYH8","inhibitor of growth protein 5-like isoform X1",1.34e-98,833.245160821139,-0.70505422879262,6.51679228969926e-05,0.0262715157398337,250
"3","LOC132718766","Q6R5J2","uncharacterized protein LOC132718766",6.84e-25,2986.77647798648,-0.646559328936947,0.000192118219925554,0.0411787956100786,150
"4","LOC132720366","Q86VS8","protein Hook homolog 3-like isoform X4",0,926.153182152209,-0.670228478059905,0.000132063863320541,0.0370202418368542,733
"5","LOC132721594","Q6AYB3","pre-mRNA-splicing factor ISY1 homolog",4.43e-84,49.1195735979962,-1.05794565572036,0.000276569494146263,0.0489165830301313,221
"6","LOC132722881","A0A140LIJ0","DC-STAMP domain-containing protein 2-like isoform X1",1.78e-77,19.3693093912913,-2.83988274300595,0.000131281404794111,0.0370202418368542,626
"7","LOC132725056","E9Q3S4","serine-rich adhesin for platelets-like isoform X3",1.07e-96,65.0146640967644,-1.26955851410417,2.5171842705757e-06,0.00312232871355862,278
"8","LOC132727157","B2GV17","cytosolic carboxypeptidase-like protein 5 isoform X8",7.75e-55,96.4994266524,-1.01161054033554,0.000176529991882952,0.0397379710515912,144
"9","LOC132727777","Q9DC61","mitochondrial-processing peptidase subunit alpha-like",1.41e-134,27.0503605127884,1.80232762299222,1.2126942494409e-05,0.0085795230780683,476
"10","LOC132728236","P83941","elongin-C",8.56e-76,169.997079347771,0.527389051524823,4.80249732453331e-05,0.0222970946095598,109
"11","LOC132729160","A2T736","zinc finger protein 267-like isoform X1",1.37e-26,30.7258004523078,-1.29576858109547,7.92097815437209e-05,0.0280195172475015,256
"12","LOC132729677","O43303","transcriptional regulator ATRX-like isoform X3",5.24e-27,540.891416070394,-0.586726180379987,3.98083784308081e-05,0.0197144359448839,185
"13","LOC132730403","Q8NEF3","coiled-coil domain-containing protein 112-like",6.82e-79,394.912227653451,-1.16780632472633,1.16407215543997e-05,0.0085795230780683,446
"14","LOC132730855","Q647I9","NACHT, LRR and PYD domains-containing protein 3-like isoform X2",2.75e-23,29.8583586632429,-1.40041576188996,0.000180951582342503,0.0401253381919785,283
"15","LOC132732296","Q867C9","ATP-dependent 6-phosphofructokinase, muscle type-like isoform X1",0,363.543263753277,0.764674663845018,4.30556785552664e-05,0.0206347811708256,766
"16","LOC132732878","Q61493","uncharacterized protein LOC132732878",0,140.008076235436,-0.524284560998469,0.000210718993498733,0.0415174754524469,1004
"17","LOC132733594","Q964E1","actin, clone 302-like",3.81e-154,11.0797698027299,3.16078420526445,1.06053150870549e-05,0.00853382656088711,378
"18","LOC132734395","Q15643","thyroid receptor-interacting protein 11-like isoform X5",2.25e-79,509.426124325621,-0.693436689269475,3.55484695118085e-05,0.018862271840605,614
"19","LOC132738510","Q5VT06","centrosome-associated protein 350-like",1.53e-34,114.224230022783,-0.944210619047365,0.000199462163461081,0.0411787956100786,178
"20","LOC132741452","Q80Y19","rho GTPase-activating protein gacU-like isoform X2",3.22e-32,3020.53903848456,-0.647585516250985,3.24818263989006e-06,0.0037121730369882,362
"21","LOC132742857","Q8R0F5","RNA-binding motif protein, X-linked 2-like",2.47e-73,560.056293423501,-0.872955017790671,0.0001546433292002,0.0376645236381537,153
"22","LOC132743875","Q5C9Z4","nucleolar MIF4G domain-containing protein 1-like",1.04e-147,120.999709714679,-0.781148320463634,0.000139250552815355,0.0372328654000836,553
"23","LOC132746399","Q8VDC1","FYVE and coiled-coil domain-containing protein 1-like",7.67e-58,80.8726248757508,-1.32407557553027,1.4753337945276e-06,0.00302186398532795,172
"24","LOC132746437","Q9C0G0","uncharacterized protein LOC132746437",1.76e-61,128.099938520346,-0.68226311735013,5.559526087051e-05,0.0242934938456814,408
"25","LOC132746792","Q9Z280","phospholipase D1-like",8.52e-43,60.5513968574354,-1.14140148907828,1.62717317645713e-06,0.00302186398532795,302
"26","LOC132748454","Q24740","hsp90 co-chaperone Cdc37-like",1.06e-108,183.81668515655,-0.705322382931824,0.000255348065845769,0.0462647099301292,349
"27","LOC132750036","Q4V8A8","zinc finger protein 62-like",1.9e-23,429.252562791507,-0.578842159679999,0.000195749915457847,0.0411787956100786,151
"28","LOC132754445","A3KG59","LOW QUALITY PROTEIN: peptidase M20 domain-containing protein 2-like",1.21e-122,8.16544477940721,-4.30108498865058,6.21120032696757e-05,0.0262715157398337,400
"29","LOC132757649","D3ZQL6","titin homolog",4.29e-32,210.852034572272,-1.25832493135623,0.000175278858172294,0.0397379710515912,107
"30","LOC132757650","O35867","neurabin-1-like isoform X12",1.03e-66,599.065011443553,-0.682031813681235,0.000211721509132515,0.0415174754524469,163
