geneID geneName baseMean log2FoldChange pvalue padj
XM_060695216.1 sp|S8FGV1|LAC2_FOMSC 77.5799738094779 -2.54578200155721 8.69272422967648e-5 0.0463396375218612
XM_060699362.1 sp|O14672|ADA10_HUMAN 8.38569170615063 2.94280254822597 1.43850444369666e-5 0.0149728070101097
XM_060700330.1 sp|Q4R7W3|RGPS2_MACFA 10.6909249523687 -6.34699797056351 4.00247907024626e-5 0.0272485754363444
XM_060702857.1 sp|Q9UK39|NOCT_HUMAN 66.8059588593881 0.708639945278686 8.14205967008456e-5 0.0451971995409217
XM_060704290.1 sp|A7SLC8|NAT9_NEMVE 27.7960366533612 -22.685094838282 1.04934382428622e-14 3.78624238678953e-11
XM_060704493.1 sp|Q86VS8|HOOK3_HUMAN 84.5482400428716 -2.19830517073894 2.49531444806402e-5 0.0219599843695234
XM_060706632.1 sp|Q17RS7|GEN_HUMAN 188.939304514468 -0.866010575790993 2.63249177769702e-5 0.0226156115054438
XM_060709870.1 sp|Q869C3|ACES_ANOGA 30.2816598000454 2.56021562251081 6.18283818400514e-5 0.0384636495440127
XM_060714835.1 sp|Q9Y5Z4|HEBP2_HUMAN 4.54512116292069 -4.26165309855876 1.05787695942642e-5 0.0115667625606134
XM_060715847.1 sp|Q8BLD6|ANR55_MOUSE 6.09936286348358 3.9788148145746 1.29038046877136e-6 0.00221711943210515
XM_060716319.1 sp|Q8NEF3|CC112_HUMAN 714.108778560293 -1.18020473541699 1.58655758786381e-5 0.0154719380771087
XM_060716928.1 sp|Q647I9|NALP5_BOVIN 58.6553412539757 -1.46844385562548 3.15147942914706e-5 0.0246563296441669
XM_060718662.1 sp|A7MCS3|CP089_DANRE 37.583529969488 -1.33764040818143 3.02534857190223e-5 0.0246563296441669
XM_060719704.1 sp|O15974|OPSD2_MIZYE 4.07487159169656 4.62166774858596 5.80389651109458e-5 0.0367396831426868
XM_060721849.1 sp|Q3V6T2|GRDN_HUMAN 118.279459723815 -1.21396108395349 8.73036067913991e-7 0.00157504437012363
XM_060722798.1 sp|Q16760|DGKD_HUMAN 24.6964372993675 23.538542235961 1.02348320847413e-15 6.15488685469393e-12
XM_060722798.1 sp|Q16760|DGKD_HUMAN 24.6964372993675 23.538542235961 1.02348320847413e-15 6.15488685469393e-12
XM_060723658.1 sp|D4A2B7|AFG2B_RAT 9.19615945013821 22.1595919138735 4.2879966067228e-14 1.28932911303143e-10
XM_060723671.1 sp|Q86W34|AMZ2_HUMAN 577.197658377742 -0.536925562657537 1.72876783565623e-5 0.0160692581400402
XM_060724676.1 sp|A7T1N0|TMP2L_NEMVE 21.9493707711624 5.21271773520332 3.8958414920536e-10 1.00406966225913e-6
XM_060726690.1 sp|P46100|ATRX_HUMAN 300.795321077363 -1.58765582331581 9.31709188107076e-5 0.0473491984863092
XM_060730143.1 sp|Q99MW1|STK31_MOUSE 17.0199929002132 -23.5569872027147 9.78007896659244e-16 6.15488685469393e-12
XM_060735405.1 sp|Q8WXB1|MT21A_HUMAN 7.45519800390923 -5.62668830583963 7.32141042328323e-6 0.00910934934113467
XM_060735521.1 sp|Q8VDC1|FYCO1_MOUSE 126.310085384093 -1.38048617155415 2.35108041256327e-7 4.99009902624164e-4
XM_060735521.1 sp|Q8VDC1|FYCO1_MOUSE 126.310085384093 -1.38048617155415 2.35108041256327e-7 4.99009902624164e-4
XM_060736043.1 sp|Q9Z280|PLD1_MOUSE 96.2278657403092 -0.99673586297522 2.83056009139603e-6 0.00425551121740632
XM_060737705.1 sp|Q9Z0H0|CDC7_MOUSE 1666.90981632252 -3.16575076532879 5.94125623939462e-6 0.00777270662551337
XM_060738632.1 sp|Q9UHK6|AMACR_HUMAN 31.8690392247286 1.20335845474154 8.72525664433451e-5 0.0463396375218612
XM_060738906.1 sp|P51910|APOD_MOUSE 8.58039857145037 -2.95628307127727 9.92671874127883e-6 0.0111929958007132
XM_060739697.1 sp|Q6DIS8|LZTS2_XENTR 26.1777266259768 7.92394910402409 2.82703019381638e-7 5.66693908073792e-4
XM_060741668.1 sp|P97872|FMO5_MOUSE 10.9291493234043 -6.97207671454642 1.83257882283706e-6 0.00293822415969378
XM_060742410.1 sp|P34611|NCL1_CAEEL 9.04423322885839 -23.056121867919 3.92920694272114e-15 1.57526272119182e-11
XM_060742410.1 sp|P34611|NCL1_CAEEL 9.04423322885839 -23.056121867919 3.92920694272114e-15 1.57526272119182e-11
XM_060748978.1 sp|D3ZQL6|MILK1_RAT 438.52664086426 -1.24682894179114 6.83514895759527e-5 0.0411043074479921
XM_060750272.1 sp|Q02224|CENPE_HUMAN 1610.64690712158 -1.00751708895828 4.88915002234434e-5 0.0315018412689693
XM_060750708.1 sp|Q9CQ02|COMD4_MOUSE 7.35165315042553 21.8520243728323 9.5963813211652e-14 2.66351254484833e-10
XM_060751036.1 sp|P81274|GPSM2_HUMAN 14.8513474070677 -8.79856462838767 2.19182521413719e-5 0.0197713593441245
XM_060752169.1 sp|P12815|PDCD6_MOUSE 5.79858647148003 -22.446544316326 2.04979236423502e-14 6.72369164421162e-11
XR_009623788.1 sp|Q9BSU1|PHAF1_HUMAN 373.261929415435 -0.520431654280544 8.73315046695461e-5 0.0463396375218612
XR_009624468.1 sp|P07607|TYSY_MOUSE 169.882415607801 26.2337338743135 3.75445003340303e-19 6.94625293714687e-15
XR_009628752.1 sp|Q5NVI9|DNJA1_PONAB 32.0901173962147 -24.6145716007184 4.8186613294143e-17 4.34667345219817e-13
