"","geneName","LOC","baseMean","log2FoldChange","pvalue","padj","protein","cds","From","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length","Gene.Ontology.IDs","Gene.Ontology..biological.process.","Gene.Ontology..GO.","Gene.Ontology..molecular.function.","Gene.Ontology..cellular.component."
"1","A7XY94","LOC132731948",3.12149574506731,4.32665628439777,4.94814302990834e-08,0.000435288142341036,"glutamate receptor ionotropic, NMDA 2B-like","lcl|NW_026853029.1_cds_XP_060574241.1_5328","A7XY94","reviewed","NMDE2_XENLA","Glutamate receptor ionotropic, NMDA 2B (GluN2B) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B)","grin2b","Xenopus laevis (African clawed frog)",1448,"GO:0004972; GO:0005764; GO:0005770; GO:0005886; GO:0010043; GO:0017146; GO:0032026; GO:0045211; GO:0046872; GO:0060079; GO:0060291","excitatory postsynaptic potential [GO:0060079]; long-term synaptic potentiation [GO:0060291]; response to magnesium ion [GO:0032026]; response to zinc ion [GO:0010043]","late endosome [GO:0005770]; lysosome [GO:0005764]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; metal ion binding [GO:0046872]; NMDA glutamate receptor activity [GO:0004972]; excitatory postsynaptic potential [GO:0060079]; long-term synaptic potentiation [GO:0060291]; response to magnesium ion [GO:0032026]; response to zinc ion [GO:0010043]","metal ion binding [GO:0046872]; NMDA glutamate receptor activity [GO:0004972]","late endosome [GO:0005770]; lysosome [GO:0005764]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]"
"2","E9Q3S4","LOC132725056",62.6279829377629,-1.22515364997801,8.51763552916376e-06,0.0071227731340234,"serine-rich adhesin for platelets-like isoform X3","lcl|NW_026864281.1_cds_XP_060566034.1_45972","E9Q3S4","reviewed","M3K19_MOUSE","Mitogen-activated protein kinase kinase kinase 19 (EC 2.7.11.1) (SPS1/STE20-related protein kinase YSK4)","Map3k19 Ysk4","Mus musculus (Mouse)",1311,"GO:0004672; GO:0004674; GO:0005524; GO:0007165; GO:0016310; GO:0106310","phosphorylation [GO:0016310]; signal transduction [GO:0007165]","ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; phosphorylation [GO:0016310]; signal transduction [GO:0007165]","ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]",""
"3","P55937","LOC132758254",175.932090283333,-1.08276690021025,1.0855627130962e-08,0.000190993903742145,"golgin subfamily A member 3-like isoform X2","lcl|NW_026859905.1_cds_XP_060605796.1_29882","P55937","reviewed","GOGA3_MOUSE","Golgin subfamily A member 3 (Golgin-160) (Male-enhanced antigen 2) (MEA-2)","Golga3 Mea2","Mus musculus (Mouse)",1487,"GO:0000139; GO:0005793; GO:0007283; GO:0030154; GO:0032580","cell differentiation [GO:0030154]; spermatogenesis [GO:0007283]","endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; cell differentiation [GO:0030154]; spermatogenesis [GO:0007283]","","endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]"
"4","P83941","LOC132728236",168.3466674674,0.579507495352734,4.46635882536148e-06,0.00604470132103153,"elongin-C","lcl|NW_026852917.1_cds_XP_060569828.1_4940","P83941","reviewed","ELOC_RAT","Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Stromal membrane-associated protein SMAP1B homolog) (Transcription elongation factor B polypeptide 1)","Eloc Tceb1","Rattus norvegicus (Rat)",112,"GO:0001222; GO:0006367; GO:0006511; GO:0016567; GO:0030674; GO:0030891; GO:0031466; GO:0032968; GO:0044877; GO:0070449; GO:0140958","positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; protein ubiquitination [GO:0016567]; target-directed miRNA degradation [GO:0140958]; transcription initiation at RNA polymerase II promoter [GO:0006367]; ubiquitin-dependent protein catabolic process [GO:0006511]","Cul5-RING ubiquitin ligase complex [GO:0031466]; elongin complex [GO:0070449]; VCB complex [GO:0030891]; protein-containing complex binding [GO:0044877]; protein-macromolecule adaptor activity [GO:0030674]; transcription corepressor binding [GO:0001222]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; protein ubiquitination [GO:0016567]; target-directed miRNA degradation [GO:0140958]; transcription initiation at RNA polymerase II promoter [GO:0006367]; ubiquitin-dependent protein catabolic process [GO:0006511]","protein-containing complex binding [GO:0044877]; protein-macromolecule adaptor activity [GO:0030674]; transcription corepressor binding [GO:0001222]","Cul5-RING ubiquitin ligase complex [GO:0031466]; elongin complex [GO:0070449]; VCB complex [GO:0030891]"
"5","Q02224","LOC132758583",1028.44268321166,-1.10225973892519,6.75919518221759e-06,0.00699536941387861,"centromere-associated protein E-like","lcl|NW_026859998.1_cds_XP_060606255.1_30282","Q02224","reviewed","CENPE_HUMAN","Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE)","CENPE","Homo sapiens (Human)",2701,"GO:0000278; GO:0000775; GO:0000776; GO:0000779; GO:0003777; GO:0005524; GO:0005634; GO:0005694; GO:0005828; GO:0005829; GO:0005874; GO:0007018; GO:0007052; GO:0007059; GO:0007079; GO:0007080; GO:0008017; GO:0015630; GO:0016020; GO:0030071; GO:0030496; GO:0043231; GO:0043515; GO:0045171; GO:0045860; GO:0051233; GO:0051301; GO:0051310; GO:0051315; GO:0051382; GO:0072686; GO:0099606; GO:0099607; GO:1990023","attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; kinetochore assembly [GO:0051382]; lateral attachment of mitotic spindle microtubules to kinetochore [GO:0099607]; metaphase chromosome alignment [GO:0051310]; microtubule plus-end directed mitotic chromosome migration [GO:0099606]; microtubule-based movement [GO:0007018]; mitotic cell cycle [GO:0000278]; mitotic chromosome movement towards spindle pole [GO:0007079]; mitotic metaphase chromosome alignment [GO:0007080]; mitotic spindle organization [GO:0007052]; positive regulation of protein kinase activity [GO:0045860]; regulation of mitotic metaphase/anaphase transition [GO:0030071]","chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; condensed chromosome, centromeric region [GO:0000779]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; intracellular membrane-bounded organelle [GO:0043231]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; membrane [GO:0016020]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle midzone [GO:1990023]; nucleus [GO:0005634]; spindle midzone [GO:0051233]; ATP binding [GO:0005524]; kinetochore binding [GO:0043515]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; kinetochore assembly [GO:0051382]; lateral attachment of mitotic spindle microtubules to kinetochore [GO:0099607]; metaphase chromosome alignment [GO:0051310]; microtubule plus-end directed mitotic chromosome migration [GO:0099606]; microtubule-based movement [GO:0007018]; mitotic cell cycle [GO:0000278]; mitotic chromosome movement towards spindle pole [GO:0007079]; mitotic metaphase chromosome alignment [GO:0007080]; mitotic spindle organization [GO:0007052]; positive regulation of protein kinase activity [GO:0045860]; regulation of mitotic metaphase/anaphase transition [GO:0030071]","ATP binding [GO:0005524]; kinetochore binding [GO:0043515]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]","chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; condensed chromosome, centromeric region [GO:0000779]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; intracellular membrane-bounded organelle [GO:0043231]; kinetochore [GO:0000776]; kinetochore microtubule [GO:0005828]; membrane [GO:0016020]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle midzone [GO:1990023]; nucleus [GO:0005634]; spindle midzone [GO:0051233]"
"6","Q15643","LOC132734395",514.309499871057,-0.740498646848384,6.39185088484229e-06,0.00699536941387861,"thyroid receptor-interacting protein 11-like isoform X5","lcl|NW_026866981.1_cds_XP_060577116.1_55953","Q15643","reviewed","TRIPB_HUMAN","Thyroid receptor-interacting protein 11 (TR-interacting protein 11) (TRIP-11) (Clonal evolution-related gene on chromosome 14 protein) (Golgi-associated microtubule-binding protein 210) (GMAP-210) (Trip230)","TRIP11 CEV14","Homo sapiens (Human)",1979,"GO:0000139; GO:0002079; GO:0002081; GO:0003281; GO:0003413; GO:0003713; GO:0005793; GO:0005794; GO:0005801; GO:0005856; GO:0006366; GO:0006486; GO:0006888; GO:0007030; GO:0030133; GO:0031267; GO:0033116; GO:0051216; GO:0060122; GO:0071806; GO:0090161; GO:0099041","cartilage development [GO:0051216]; chondrocyte differentiation involved in endochondral bone morphogenesis [GO:0003413]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; Golgi ribbon formation [GO:0090161]; inner ear receptor cell stereocilium organization [GO:0060122]; protein glycosylation [GO:0006486]; protein transmembrane transport [GO:0071806]; transcription by RNA polymerase II [GO:0006366]; ventricular septum development [GO:0003281]; vesicle tethering to Golgi [GO:0099041]","cis-Golgi network [GO:0005801]; cytoskeleton [GO:0005856]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; inner acrosomal membrane [GO:0002079]; outer acrosomal membrane [GO:0002081]; transport vesicle [GO:0030133]; small GTPase binding [GO:0031267]; transcription coactivator activity [GO:0003713]; cartilage development [GO:0051216]; chondrocyte differentiation involved in endochondral bone morphogenesis [GO:0003413]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; Golgi ribbon formation [GO:0090161]; inner ear receptor cell stereocilium organization [GO:0060122]; protein glycosylation [GO:0006486]; protein transmembrane transport [GO:0071806]; transcription by RNA polymerase II [GO:0006366]; ventricular septum development [GO:0003281]; vesicle tethering to Golgi [GO:0099041]","small GTPase binding [GO:0031267]; transcription coactivator activity [GO:0003713]","cis-Golgi network [GO:0005801]; cytoskeleton [GO:0005856]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; inner acrosomal membrane [GO:0002079]; outer acrosomal membrane [GO:0002081]; transport vesicle [GO:0030133]"
"7","Q80Y19","LOC132741452",3019.41162696987,-0.670131080926132,2.66729957856422e-06,0.0039107057321049,"rho GTPase-activating protein gacU-like isoform X2","lcl|NW_026854897.1_cds_XP_060585598.1_11743","Q80Y19","reviewed","RHGBA_MOUSE","Rho GTPase-activating protein 11A (Rho-type GTPase-activating protein 11A)","Arhgap11a Kiaa0013","Mus musculus (Mouse)",987,"GO:0005096; GO:0005634; GO:0007165; GO:0043547","positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]","nucleus [GO:0005634]; GTPase activator activity [GO:0005096]; positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]","GTPase activator activity [GO:0005096]","nucleus [GO:0005634]"
"8","Q8NEF3","LOC132730403",402.333739629509,-1.23943983254973,1.5057867433984e-06,0.00294364577370572,"coiled-coil domain-containing protein 112-like","lcl|NW_026865813.1_cds_XP_060572302.1_51632","Q8NEF3","reviewed","CC112_HUMAN","Coiled-coil domain-containing protein 112 (Mutated in bladder cancer protein 1)","CCDC112 MBC1","Homo sapiens (Human)",446,"GO:0005737; GO:0034451","","centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]","","centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]"
"9","Q8VDC1","LOC132746399",82.1608047374183,-1.3911792874175,2.0560269014306e-07,0.000602895621729498,"FYVE and coiled-coil domain-containing protein 1-like","lcl|NW_026856403.1_cds_XP_060591504.1_17037","Q8VDC1","reviewed","FYCO1_MOUSE","FYVE and coiled-coil domain-containing protein 1","Fyco1","Mus musculus (Mouse)",1437,"GO:0005764; GO:0005770; GO:0005776; GO:0005794; GO:0046872; GO:0072383; GO:1901098","plus-end-directed vesicle transport along microtubule [GO:0072383]; positive regulation of autophagosome maturation [GO:1901098]","autophagosome [GO:0005776]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; lysosome [GO:0005764]; metal ion binding [GO:0046872]; plus-end-directed vesicle transport along microtubule [GO:0072383]; positive regulation of autophagosome maturation [GO:1901098]","metal ion binding [GO:0046872]","autophagosome [GO:0005776]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; lysosome [GO:0005764]"
"10","Q964E1","LOC132733594",11.249891971932,3.32698983692717,5.76790468005534e-06,0.00676536766272625,"actin, clone 302-like","lcl|NW_026866764.1_cds_XP_060576237.1_55171","Q964E1","reviewed","ACTC_BIOOB","Actin, cytoplasmic (EC 3.6.4.-) [Cleaved into: Actin, cytoplasmic, intermediate form]","","Biomphalaria obstructa (Bloodfluke planorb) (Freshwater snail)",376,"GO:0005524; GO:0005737; GO:0005856; GO:0016787","","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]","ATP binding [GO:0005524]; hydrolase activity [GO:0016787]","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]"
