From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
S8FGV1	S8FGV1	reviewed	LAC2_FOMSC	Laccase-2 (EC 1.10.3.2) (FpLCC2)	LCC2 FOMPIDRAFT_51906	Fomitopsis schrenkii (Brown rot fungus)	530	GO:0005507; GO:0005576; GO:0016682		extracellular region [GO:0005576]; copper ion binding [GO:0005507]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]	copper ion binding [GO:0005507]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]	extracellular region [GO:0005576]
Q8WYH8	Q8WYH8	reviewed	ING5_HUMAN	Inhibitor of growth protein 5 (p28ING5)	ING5	Homo sapiens (Human)	240	GO:0000123; GO:0001558; GO:0003682; GO:0005634; GO:0005654; GO:0006275; GO:0006355; GO:0006473; GO:0008285; GO:0035064; GO:0043065; GO:0045926; GO:0046872; GO:0048144; GO:0048147; GO:0050793; GO:0051726; GO:0070776; GO:0097190; GO:0140889; GO:1903706; GO:2000278; GO:2001235	apoptotic signaling pathway [GO:0097190]; DNA replication-dependent chromatin disassembly [GO:0140889]; fibroblast proliferation [GO:0048144]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of growth [GO:0045926]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; protein acetylation [GO:0006473]; regulation of cell cycle [GO:0051726]; regulation of cell growth [GO:0001558]; regulation of developmental process [GO:0050793]; regulation of DNA biosynthetic process [GO:2000278]; regulation of DNA replication [GO:0006275]; regulation of DNA-templated transcription [GO:0006355]; regulation of hemopoiesis [GO:1903706]	histone acetyltransferase complex [GO:0000123]; MOZ/MORF histone acetyltransferase complex [GO:0070776]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]; apoptotic signaling pathway [GO:0097190]; DNA replication-dependent chromatin disassembly [GO:0140889]; fibroblast proliferation [GO:0048144]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of growth [GO:0045926]; positive regulation of apoptotic process [GO:0043065]; positive regulation of apoptotic signaling pathway [GO:2001235]; protein acetylation [GO:0006473]; regulation of cell cycle [GO:0051726]; regulation of cell growth [GO:0001558]; regulation of developmental process [GO:0050793]; regulation of DNA biosynthetic process [GO:2000278]; regulation of DNA replication [GO:0006275]; regulation of DNA-templated transcription [GO:0006355]; regulation of hemopoiesis [GO:1903706]	chromatin binding [GO:0003682]; metal ion binding [GO:0046872]; methylated histone binding [GO:0035064]	histone acetyltransferase complex [GO:0000123]; MOZ/MORF histone acetyltransferase complex [GO:0070776]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q91VW5	Q91VW5	reviewed	GOGA4_MOUSE	Golgin subfamily A member 4 (tGolgin-1)	Golga4	Mus musculus (Mouse)	2238	GO:0000139; GO:0005654; GO:0005737; GO:0005794; GO:0031267; GO:0043001; GO:0045773; GO:0048193; GO:0051020	Golgi to plasma membrane protein transport [GO:0043001]; Golgi vesicle transport [GO:0048193]; positive regulation of axon extension [GO:0045773]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; GTPase binding [GO:0051020]; small GTPase binding [GO:0031267]; Golgi to plasma membrane protein transport [GO:0043001]; Golgi vesicle transport [GO:0048193]; positive regulation of axon extension [GO:0045773]	GTPase binding [GO:0051020]; small GTPase binding [GO:0031267]	cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]
Q9UK39	Q9UK39	reviewed	NOCT_HUMAN	Nocturnin (EC 3.1.3.108) (Carbon catabolite repression 4-like protein)	NOCT CCR4 CCRN4L NOC	Homo sapiens (Human)	431	GO:0000175; GO:0000290; GO:0000932; GO:0003729; GO:0004535; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0006366; GO:0006739; GO:0009991; GO:0010629; GO:0019178; GO:0032496; GO:0032922; GO:0033962; GO:0042752; GO:0045600; GO:0045668; GO:0045995; GO:0046872; GO:0048255; GO:0048471; GO:0102757	circadian regulation of gene expression [GO:0032922]; deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; mRNA stabilization [GO:0048255]; NADP metabolic process [GO:0006739]; negative regulation of gene expression [GO:0010629]; negative regulation of osteoblast differentiation [GO:0045668]; P-body assembly [GO:0033962]; positive regulation of fat cell differentiation [GO:0045600]; regulation of circadian rhythm [GO:0042752]; regulation of embryonic development [GO:0045995]; response to extracellular stimulus [GO:0009991]; response to lipopolysaccharide [GO:0032496]; transcription by RNA polymerase II [GO:0006366]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; perinuclear region of cytoplasm [GO:0048471]; 3'-5'-RNA exonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; NADP phosphatase activity [GO:0019178]; NADPH phosphatase activity [GO:0102757]; poly(A)-specific ribonuclease activity [GO:0004535]; circadian regulation of gene expression [GO:0032922]; deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; mRNA stabilization [GO:0048255]; NADP metabolic process [GO:0006739]; negative regulation of gene expression [GO:0010629]; negative regulation of osteoblast differentiation [GO:0045668]; P-body assembly [GO:0033962]; positive regulation of fat cell differentiation [GO:0045600]; regulation of circadian rhythm [GO:0042752]; regulation of embryonic development [GO:0045995]; response to extracellular stimulus [GO:0009991]; response to lipopolysaccharide [GO:0032496]; transcription by RNA polymerase II [GO:0006366]	3'-5'-RNA exonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; NADP phosphatase activity [GO:0019178]; NADPH phosphatase activity [GO:0102757]; poly(A)-specific ribonuclease activity [GO:0004535]	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; perinuclear region of cytoplasm [GO:0048471]
Q6DRJ4	Q6DRJ4	reviewed	KRI1_DANRE	Protein KRI1 homolog	kri1 kri1l	Danio rerio (Zebrafish) (Brachydanio rerio)	765	GO:0000447; GO:0005730; GO:0030686; GO:0042254; GO:0060216	definitive hemopoiesis [GO:0060216]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; ribosome biogenesis [GO:0042254]	90S preribosome [GO:0030686]; nucleolus [GO:0005730]; definitive hemopoiesis [GO:0060216]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; ribosome biogenesis [GO:0042254]		90S preribosome [GO:0030686]; nucleolus [GO:0005730]
Q86VS8	Q86VS8	reviewed	HOOK3_HUMAN	Protein Hook homolog 3 (h-hook3) (hHK3)	HOOK3	Homo sapiens (Human)	718	GO:0000242; GO:0005737; GO:0005801; GO:0005813; GO:0005829; GO:0005874; GO:0007032; GO:0007040; GO:0008017; GO:0008333; GO:0015031; GO:0022027; GO:0030705; GO:0031122; GO:0034451; GO:0034452; GO:0034454; GO:0042802; GO:0045022; GO:0045503; GO:0045505; GO:0050768; GO:0051645; GO:0051959; GO:0070695; GO:0071539; GO:0097150; GO:1905719	cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]; early endosome to late endosome transport [GO:0045022]; endosome organization [GO:0007032]; endosome to lysosome transport [GO:0008333]; Golgi localization [GO:0051645]; interkinetic nuclear migration [GO:0022027]; lysosome organization [GO:0007040]; microtubule anchoring at centrosome [GO:0034454]; negative regulation of neurogenesis [GO:0050768]; neuronal stem cell population maintenance [GO:0097150]; protein localization to centrosome [GO:0071539]; protein localization to perinuclear region of cytoplasm [GO:1905719]; protein transport [GO:0015031]	centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cis-Golgi network [GO:0005801]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; FHF complex [GO:0070695]; microtubule [GO:0005874]; pericentriolar material [GO:0000242]; dynactin binding [GO:0034452]; dynein intermediate chain binding [GO:0045505]; dynein light chain binding [GO:0045503]; dynein light intermediate chain binding [GO:0051959]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]; cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]; early endosome to late endosome transport [GO:0045022]; endosome organization [GO:0007032]; endosome to lysosome transport [GO:0008333]; Golgi localization [GO:0051645]; interkinetic nuclear migration [GO:0022027]; lysosome organization [GO:0007040]; microtubule anchoring at centrosome [GO:0034454]; negative regulation of neurogenesis [GO:0050768]; neuronal stem cell population maintenance [GO:0097150]; protein localization to centrosome [GO:0071539]; protein localization to perinuclear region of cytoplasm [GO:1905719]; protein transport [GO:0015031]	dynactin binding [GO:0034452]; dynein intermediate chain binding [GO:0045505]; dynein light chain binding [GO:0045503]; dynein light intermediate chain binding [GO:0051959]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]	centriolar satellite [GO:0034451]; centrosome [GO:0005813]; cis-Golgi network [GO:0005801]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; FHF complex [GO:0070695]; microtubule [GO:0005874]; pericentriolar material [GO:0000242]
A1YG61	A1YG61	reviewed	EHF_PANPA	ETS homologous factor (ETS domain-containing transcription factor)	EHF	Pan paniscus (Pygmy chimpanzee) (Bonobo)	300	GO:0000978; GO:0001228; GO:0005654; GO:0005794; GO:0030855	epithelial cell differentiation [GO:0030855]	Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; epithelial cell differentiation [GO:0030855]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]
Q6AYB3	Q6AYB3	reviewed	ISY1_RAT	Pre-mRNA-splicing factor ISY1 homolog	Isy1	Rattus norvegicus (Rat)	284	GO:0000350; GO:0000389; GO:0000398; GO:0000974; GO:0005634; GO:0071006; GO:0071013; GO:0071014; GO:0071020	generation of catalytic spliceosome for second transesterification step [GO:0000350]; mRNA 3'-splice site recognition [GO:0000389]; mRNA splicing, via spliceosome [GO:0000398]	catalytic step 2 spliceosome [GO:0071013]; nucleus [GO:0005634]; post-mRNA release spliceosomal complex [GO:0071014]; post-spliceosomal complex [GO:0071020]; Prp19 complex [GO:0000974]; U2-type catalytic step 1 spliceosome [GO:0071006]; generation of catalytic spliceosome for second transesterification step [GO:0000350]; mRNA 3'-splice site recognition [GO:0000389]; mRNA splicing, via spliceosome [GO:0000398]		catalytic step 2 spliceosome [GO:0071013]; nucleus [GO:0005634]; post-mRNA release spliceosomal complex [GO:0071014]; post-spliceosomal complex [GO:0071020]; Prp19 complex [GO:0000974]; U2-type catalytic step 1 spliceosome [GO:0071006]
Q9QXG4	Q9QXG4	reviewed	ACSA_MOUSE	Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acetyl-CoA synthetase 1) (AceCS1) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme) (Propionate--CoA ligase) (EC 6.2.1.17)	Acss2 Acas2 Acecs1	Mus musculus (Mouse)	701	GO:0003682; GO:0003713; GO:0003987; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0006085; GO:0007616; GO:0008610; GO:0019413; GO:0019542; GO:0035066; GO:0050218	acetate biosynthetic process [GO:0019413]; acetyl-CoA biosynthetic process [GO:0006085]; lipid biosynthetic process [GO:0008610]; long-term memory [GO:0007616]; positive regulation of histone acetylation [GO:0035066]; propionate biosynthetic process [GO:0019542]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; acetate-CoA ligase activity [GO:0003987]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; propionate-CoA ligase activity [GO:0050218]; transcription coactivator activity [GO:0003713]; acetate biosynthetic process [GO:0019413]; acetyl-CoA biosynthetic process [GO:0006085]; lipid biosynthetic process [GO:0008610]; long-term memory [GO:0007616]; positive regulation of histone acetylation [GO:0035066]; propionate biosynthetic process [GO:0019542]	acetate-CoA ligase activity [GO:0003987]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]; propionate-CoA ligase activity [GO:0050218]; transcription coactivator activity [GO:0003713]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
E9Q3S4	E9Q3S4	reviewed	M3K19_MOUSE	Mitogen-activated protein kinase kinase kinase 19 (EC 2.7.11.1) (SPS1/STE20-related protein kinase YSK4)	Map3k19 Ysk4	Mus musculus (Mouse)	1311	GO:0004672; GO:0004674; GO:0005524; GO:0007165; GO:0016310; GO:0106310	phosphorylation [GO:0016310]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; phosphorylation [GO:0016310]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]	
