From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs
S8FGV1	S8FGV1	reviewed	LAC2_FOMSC	Laccase-2 (EC 1.10.3.2) (FpLCC2)	LCC2 FOMPIDRAFT_51906	Fomitopsis schrenkii (Brown rot fungus)	530	GO:0005507; GO:0005576; GO:0016682
O14672	O14672	reviewed	ADA10_HUMAN	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	ADAM10 KUZ MADM	Homo sapiens (Human)	748	GO:0000139; GO:0001701; GO:0004175; GO:0004222; GO:0005102; GO:0005178; GO:0005634; GO:0005737; GO:0005788; GO:0005794; GO:0005798; GO:0005886; GO:0005912; GO:0005925; GO:0006468; GO:0006509; GO:0007162; GO:0007219; GO:0007229; GO:0007267; GO:0008237; GO:0008284; GO:0008593; GO:0009986; GO:0010629; GO:0010820; GO:0014069; GO:0016020; GO:0016485; GO:0017124; GO:0019901; GO:0022617; GO:0030136; GO:0030307; GO:0030335; GO:0030424; GO:0030425; GO:0034332; GO:0034612; GO:0035579; GO:0038004; GO:0042117; GO:0042803; GO:0042987; GO:0043231; GO:0046872; GO:0046930; GO:0046931; GO:0051089; GO:0060090; GO:0070062; GO:0070573; GO:0070821; GO:0090102; GO:0097038; GO:0097060; GO:0097197; GO:0098696; GO:0098978; GO:0099173; GO:0099175; GO:0140249; GO:1901342; GO:1901998; GO:1902945
Q4R7W3	Q4R7W3	reviewed	RGPS2_MACFA	Ras-specific guanine nucleotide-releasing factor RalGPS2 (Ral GEF with PH domain and SH3-binding motif 2) (RalA exchange factor RalGPS2)	RALGPS2 QtsA-14234	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	557	GO:0005085; GO:0005737; GO:0005886; GO:0007264
Q9UK39	Q9UK39	reviewed	NOCT_HUMAN	Nocturnin (EC 3.1.3.108) (Carbon catabolite repression 4-like protein)	NOCT CCR4 CCRN4L NOC	Homo sapiens (Human)	431	GO:0000175; GO:0000290; GO:0000932; GO:0003729; GO:0004535; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0006366; GO:0006739; GO:0009991; GO:0010629; GO:0019178; GO:0032496; GO:0032922; GO:0033962; GO:0042752; GO:0045600; GO:0045668; GO:0045995; GO:0046872; GO:0048255; GO:0048471; GO:0102757
A7SLC8	A7SLC8	reviewed	NAT9_NEMVE	N-acetyltransferase 9-like protein (EC 2.3.1.-)	nat9 v1g171834	Nematostella vectensis (Starlet sea anemone)	198	GO:0008080
Q86VS8	Q86VS8	reviewed	HOOK3_HUMAN	Protein Hook homolog 3 (h-hook3) (hHK3)	HOOK3	Homo sapiens (Human)	718	GO:0000242; GO:0005737; GO:0005801; GO:0005813; GO:0005829; GO:0005874; GO:0007032; GO:0007040; GO:0008017; GO:0008333; GO:0015031; GO:0022027; GO:0030705; GO:0031122; GO:0034451; GO:0034452; GO:0034454; GO:0042802; GO:0045022; GO:0045503; GO:0045505; GO:0050768; GO:0051645; GO:0051959; GO:0070695; GO:0071539; GO:0097150; GO:1905719
Q17RS7	Q17RS7	reviewed	GEN_HUMAN	Flap endonuclease GEN homolog 1 (EC 3.1.-.-)	GEN1	Homo sapiens (Human)	908	GO:0000287; GO:0000400; GO:0000724; GO:0005654; GO:0005813; GO:0008821; GO:0010824; GO:0017108; GO:0031297; GO:0042803; GO:0071139; GO:0071140; GO:0090267
Q869C3	Q869C3	reviewed	ACES_ANOGA	Acetylcholinesterase (AChE) (EC 3.1.1.7)	Ace ACE1 ACHE1 AGAP001356	Anopheles gambiae (African malaria mosquito)	737	GO:0003990; GO:0005615; GO:0005886; GO:0006581; GO:0019695; GO:0045202
Q9Y5Z4	Q9Y5Z4	reviewed	HEBP2_HUMAN	Heme-binding protein 2 (Placental protein 23) (PP23) (Protein SOUL)	HEBP2 C6orf34 SOUL	Homo sapiens (Human)	205	GO:0005576; GO:0005737; GO:0005739; GO:0020037; GO:0035578; GO:0070062
Q8BLD6	Q8BLD6	reviewed	ANR55_MOUSE	Ankyrin repeat domain-containing protein 55	Ankrd55	Mus musculus (Mouse)	626	
