"","gene.x","ncbi_id","cds","protein","protein_id","location","gbkey","saccver","SPID","gene.Uni","species","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene.y","X","M.C.193","M.C.216","M.C.218","M.C.226","M.C.306","M.C.329","M.C.334","M.C.337","M.C.339","M.C.358","M.C.360","M.C.363","M.C.373","M.C.482","M.C.488","M.T.18","M.T.20","M.T.22","M.T.235","M.T.245","M.T.29","M.T.31","M.T.32","M.T.399","M.T.43","M.T.44","M.T.500","M.T.7","M.T.83","M.T.8"
"1","LOC132712777",132712777,"lcl|NW_026860611.1_cds_XP_060551199.1_32602","uncharacterized protein LOC132712777","XP_060551199.1","complement(join(6460..6707,6973..7150,7605..7694,11428..11577,12070..12167,12694..12823,14337..14530,14807..14943,16453..16567,17890..18137,19669..>19829))","CDS","sp|S8FGV1|LAC2_FOMSC","S8FGV1","LAC2","FOMSC",36.455,299,161,9,7,882,64,340,9.32e-44,167,66.0375040016735,-2.75999737485059,0.626402228193216,-4.40611040419106,1.05243336584272e-05,0.00853382656088711,"LOC132712777","LOC132712777",4.34608020493279,8.8771922295924,3.32069554771092,2.92825655027341,9.11922953525491,3.33211986096232,3.0324385750551,3.51119361070507,6.39749813887148,2.9340241484947,3.52921909573441,2.46192779597982,3.1515533487697,8.92016167567679,5.48061974725397,3.71368599323283,0.888416917939135,2.74196331503094,3.76615921547824,5.29640004392285,5.20519621618204,3.94875615323764,3.64740638880996,4.12386607205047,3.94035643146933,4.06179126560657,5.15815679572452,3.52308229810737,3.21564672175815,4.63327648759653
"2","LOC132713118",132713118,"lcl|NW_026860702.1_cds_XP_060551573.1_32941","inhibitor of growth protein 5-like isoform X1","XP_060551573.1","complement(join(56191..56292,57207..57372,58447..58537,61732..61849,64755..64921,65632..65703,67640..67676))","CDS","sp|Q8WYH8|ING5_HUMAN","Q8WYH8","ING5","HUMAN",61.2,250,86,2,1,750,1,239,1.34e-98,290,833.245160821139,-0.70505422879262,0.176560561424803,-3.99327133479297,6.51679228969926e-05,0.0262715157398337,"LOC132713118","LOC132713118",9.02079346469821,9.77610644152612,10.2677582276456,9.8793892327107,9.70070947082015,10.6380646282516,10.1675516494192,9.59756133078941,10.2181612062917,9.84180021472738,9.63438391245491,10.2616138438649,10.052902475768,10.5139367499833,9.86396480816243,8.66587345166201,9.07621162971535,9.29639940490752,9.09102583165433,8.8988638004371,9.86136238465783,9.36822896789014,8.95180066315544,8.91265851182379,9.80121039144551,9.10689877559808,9.90821301941626,7.82186395522166,9.8829401540614,9.6034388424488
"3","LOC132718766",132718766,"lcl|NW_026852601.1_cds_XP_060558476.1_3948","uncharacterized protein LOC132718766","XP_060558476.1","complement(join(49318..49800,50437..50607,51303..51380,51941..52065,54797..54920,57731..57862,63390..63515,64592..64816,68621..70431,74655..74919))","CDS","sp|Q6R5J2|DISP1_DANRE","Q6R5J2","DISP1","DANRE",36,150,95,1,1048,1494,492,641,6.84e-25,116,2986.77647798648,-0.646559328936947,0.173379291757793,-3.72916120709603,0.000192118219925554,0.0411787956100786,"LOC132718766","LOC132718766",11.8493599781596,11.6864087209384,11.7651597399999,11.8810246097026,12.3527970449849,11.512015498773,10.795215801369,11.8753120663127,11.5460763169325,11.1999217033044,12.7526700102668,11.5343088740078,12.1431043278137,11.6920568981174,11.8623804173309,11.9480843503203,10.687213177363,10.5372553742756,11.9090664640522,11.6034182766288,11.2488827919332,11.2718983565103,10.8869906574183,10.6078291692727,10.7831600523036,11.1865670618916,11.001288132552,11.1313071191849,10.5253448174307,11.3885649957603
"4","LOC132720366",132720366,"lcl|NW_026862840.1_cds_XP_060560474.1_40953","protein Hook homolog 3-like isoform X4","XP_060560474.1","complement(join(25282..25300,28862..28998,30326..30397,31106..31213,36365..36668,37125..37265,37730..37872,40549..40617,42165..42329,42712..42797,44159..44201,44483..44566,45306..45370,45783..45862,52367..52461,56583..56666,57760..57810,58365..58513,61728..61779,63059..63182,66027..66112,69455..69493))","CDS","sp|Q86VS8|HOOK3_HUMAN","Q86VS8","HOOK3","HUMAN",51.842,733,323,8,1,2178,7,716,0,656,926.153182152209,-0.670228478059905,0.175334168926096,-3.82257766506658,0.000132063863320541,0.0370202418368542,"LOC132720366","LOC132720366",9.22106361418442,10.0852813364144,9.70167047102532,10.0892103730584,10.2751583483725,10.9234547579071,10.0284996343354,10.3024357072357,9.51485160645343,9.59568926338223,10.3559236093801,10.4674662584735,9.57473298543249,10.1423987409362,10.8598057142412,9.28211142753217,8.844757451986,9.4193796780896,10.3449088741908,9.90637618531613,8.93521255628431,9.73273773418802,8.81602723249686,10.0293118742625,9.44587276116938,9.07225283397923,9.22549771905197,9.50070014765026,9.46088887614153,9.25544767965048
"5","LOC132721594",132721594,"lcl|NW_026863252.1_cds_XP_060561898.1_42237","pre-mRNA-splicing factor ISY1 homolog","XP_060561898.1","join(<265..377,781..842,1280..1335,1891..2013,3719..3750,3782..3835,4817..4915,5050..5157)","CDS","sp|Q6AYB3|ISY1_RAT","Q6AYB3","ISY1","RAT",63.801,221,71,3,1,639,64,283,4.43e-84,254,49.1195735979962,-1.05794565572036,0.290939199414568,-3.63631184058104,0.000276569494146263,0.0489165830301313,"LOC132721594","LOC132721594",5.58384500968888,5.50514337104534,5.5911158732821,5.73427627439619,5.65436691538807,7.3137240551252,6.14500843763139,4.49849359846243,6.73233166028433,5.31278434909275,5.64071640006595,5.95136818278148,5.9238428162393,7.21740001720096,5.54946965916681,4.7062835033841,3.86970361350918,5.51001590123285,5.43967709940533,3.94128607582626,3.80329232108777,5.39585772278979,6.18300355046748,5.4675553789845,5.27010352244175,4.06179126560657,4.86789030520383,4.65660776385937,5.69097173927512,3.62545632896304
"6","LOC132722881",132722881,"lcl|NW_026863662.1_cds_XP_060563448.1_43633","DC-STAMP domain-containing protein 2-like isoform X1","XP_060563448.1","complement(join(38026..38776,39087..39183,39453..39580,40041..40281,40663..40833,41528..41692,41894..42051,44601..44814,45537..45602,46003..46076,47718..47838,48485..48586,49829..49999,50718..50900,51360..51502,57566..57696))","CDS","sp|A0A140LIJ0|DCST2_MOUSE","A0A140LIJ0","DCST2","MOUSE",27.157,626,441,8,262,2121,13,629,1.78e-77,271,19.3693093912913,-2.83988274300595,0.742638956209978,-3.8240422472572,0.000131281404794111,0.0370202418368542,"LOC132722881","LOC132722881",6.29187150759806,6.81519873616196,1.08673794103308,6.53769063749902,1.59212097457731,3.13340768260618,5.03587126734144,0.848109786513921,1.95326120707533,3.30107864577835,2.53437662291238,0,7.39004057202626,1.77536121742718,0,3.71368599323283,2.39388805053101,1.94294628055554,1.1016432323958,2.19864454670348,2.9961720910808,3.13360949643444,3.20731257985656,0,2.69319377067082,3.90262455435445,1.05977791030961,1.77492185707158,0,1.09366764208606
"7","LOC132725056",132725056,"lcl|NW_026864281.1_cds_XP_060566034.1_45972","serine-rich adhesin for platelets-like isoform X3","XP_060566034.1","complement(join(197269..197356,200555..200719,201286..201480,202044..202223,203064..203215,203511..203651,204347..204457,205056..209594,209956..210071,213052..213249,213542..213735,214886..214964,216025..216042,217508..217559,218212..218478,218754..218893,219547..219662,220784..220944,226650..226844,233372..233503,234695..234910))","CDS","sp|E9Q3S4|M3K19_MOUSE","E9Q3S4","M3K19","MOUSE",64.388,278,97,2,6592,7419,1030,1307,1.07e-96,347,65.0146640967644,-1.26955851410417,0.269732435112142,-4.7067328538978,2.5171842705757e-06,0.00312232871355862,"LOC132725056","LOC132725056",7.03164247862029,7.39588445009518,6.55897779105776,7.20087882834456,6.13985480558431,5.85840499443834,5.52805448850753,6.0749268860464,6.69281931606587,6.39283073591796,6.91685424359172,5.92484097255287,6.47368772594343,6.46330423980028,5.98191287601063,5.11946443020541,4.10196356576328,5.09552388359081,6.653935837886,5.29640004392285,3.45545436464878,4.7898090625435,5.04969648637675,4.32404174764992,4.89258709303116,5.20012405965278,5.50681245528944,4.56115202913649,6.68986944229836,4.98287003855733
"8","LOC132727157",132727157,"lcl|NW_026864884.1_cds_XP_060568564.1_48249","cytosolic carboxypeptidase-like protein 5 isoform X8","XP_060568564.1","complement(join(32815..32833,33150..33252,44988..45217,47027..47358,51534..51772,53817..54016,54594..54778,56314..56449,57068..57228))","CDS","sp|B2GV17|CBPC5_RAT","B2GV17","CBPC5","RAT",65.972,144,49,0,1,432,460,603,7.75e-55,201,96.4994266524,-1.01161054033554,0.269731719018636,-3.75043225919474,0.000176529991882952,0.0397379710515912,"LOC132727157","LOC132727157",5.43824742860601,7.74127304450756,5.65686905352474,6.36328264360268,7.92954351995629,7.839633341157,6.01371344614915,8.23770212169272,6.39749813887148,6.39283073591796,6.39921909940467,6.59734336590698,7.19308072489545,6.63141139491722,6.97045424087044,6.23746582032485,5.55341462038896,6.07427020637285,6.05140298584706,6.23272257810887,6.70991166943569,4.95392736209069,4.63721749407143,5.15375544684552,5.76307945480327,6.37486212118305,6.26533827223852,5.88588360447826,6.83660411201697,5.90631980740137
"9","LOC132727777",132727777,"lcl|NW_026852900.1_cds_XP_060569343.1_4903","mitochondrial-processing peptidase subunit alpha-like","XP_060569343.1","complement(join(372478..372644,373954..374035,374915..374977,376031..376091,376908..377119,378931..379209,380697..380789,381750..381852,382425..382507,386855..387004,387415..387562,388920..388975))","CDS","sp|Q9DC61|MPPA_MOUSE","Q9DC61","MPPA","MOUSE",48.109,476,204,8,169,1488,55,523,1.41e-134,402,27.0503605127884,1.80232762299222,0.411933003273801,4.3752930905472,1.2126942494409e-05,0.0085795230780683,"LOC132727777","LOC132727777",3.47628301139099,2.96962051036168,4.24663006618468,2.65294986207249,3.59479627134138,2.62839287689858,4.03472794385194,4.97293853404569,4.89359965214429,2.70825924237838,2.94683766332289,2.95685338321665,3.74335033399174,2.81927838592411,3.70088554225551,6.88105970682698,5.16578707536409,4.38641806954729,3.76615921547824,4.41589687817428,4.6396558850305,5.39585772278979,4.72968769696682,4.75216394143393,4.9254044711835,7.71055455670752,3.27454267567575,4.98555204050175,4.05818669857022,4.17091727472288
"10","LOC132728236",132728236,"lcl|NW_026852917.1_cds_XP_060569828.1_4940","elongin-C","XP_060569828.1","join(17159..17327,20274..20322,23590..23731)","CDS","sp|P83941|ELOC_RAT","P83941","ELOC","RAT",95.413,109,5,0,31,357,4,112,8.56e-76,222,169.997079347771,0.527389051524823,0.12973784342715,4.06503636559182,4.80249732453331e-05,0.0222970946095598,"LOC132728236","LOC132728236",7.70174985842754,7.03157969891438,6.82519099770827,6.79126103919072,7.40297825703175,6.90950269031834,7.21667073340651,7.33116926830359,7.71898973959408,6.91364395465176,7.23409758910895,6.214897484094,7.21512594108774,7.06907957592303,6.64826361109514,7.6003059081701,7.56302664689779,7.63115113228887,7.60490365552814,8.00630251373909,7.87828603488822,7.86528472748909,7.52235014237255,7.29975228815337,7.50323242545073,7.82596407928753,7.60840487411296,7.98706870653708,7.41346078848765,7.2993356792356
